,summary,Review,rating,ProductName,Url
451,Did not meet expectations,"Addictive, high sugar content, does not serve the purpose.",1,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5715
452,Awesome,Best product for child growth. I started it to my child boy at the age of 5.5 years after doctor recommendation for development of my child. Started from june to till September. My child gain 7cm heights improved with 2kg weight increased. So i suggest for everyone one include it in daily diet of your child with continuity for best results. My child started from 109cm to 116cm with in 4 months of use and weight 14.2kg to 16.3 kg.,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5716
453,Terrific,Very good product,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5717
454,Nice,"Gd if price was ok for  all , poor people will not be able to buy",3,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5718
455,Good choice,Nice product,4,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5719
456,Highly recommended,Super ✍️,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5720
457,Must buy!,Very nice... thank you flpcrt,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5721
458,Mind-blowing purchase,Super deal,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5722
459,Awesome,Good produced...,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5723
460,Must buy!,It's very good 👍,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5724
